id,value
id_0,5.17496039898473
id_1,18.306214253527912
id_2,20.491218094180525
id_3,11.523942869805381
id_4,26.616056752306143
id_5,20.531348081761216
id_6,21.906551018797398
id_7,31.736468747068834
id_8,13.391674055111693
id_9,64.45646650291954
id_10,20.264568836159427
id_11,15.358576077361203
id_12,68.5894727692672
id_13,48.42811374745718
id_14,18.70233382419321
id_15,10.188595737466688
id_16,30.740362859820415
id_17,71.13221776355113
id_18,-4.130517391262455
id_19,18.235694016428674
id_20,38.578922275007756
id_21,71.3115197253133
id_22,7.410348162634065
id_23,18.717955330321416
id_24,14.937250260084564
id_25,36.71973669470532
id_26,17.961697005662693
id_27,75.78946287210539
id_28,12.309310248614457
id_29,56.2953517396496
id_30,25.1131608656615
id_31,4.610248674094015
id_32,2.4837705545150186
id_33,24.759422261321255
id_34,30.480280465591175
id_35,38.46393074642664
id_36,44.20231060933003
id_37,30.086836019866006
id_38,40.473675015740085
id_39,29.226479902317383
id_40,5.606456054343916
id_41,38.666016078789596
id_42,34.61021343187719
id_43,48.38969750738481
id_44,14.757247666944174
id_45,34.466820110872106
id_46,27.48310687418435
id_47,12.000879378154032
id_48,21.378036151603773
id_49,28.5444030916633
id_50,20.165513818411586
id_51,10.796678149746493
id_52,22.17103575575011
id_53,53.446263109352245
id_54,12.219581121610034
id_55,43.30096845517153
id_56,32.18233510328541
id_57,22.567217514570817
id_58,56.73951416554704
id_59,20.74505294529547
id_60,15.02885455747328
id_61,39.8553015903851
id_62,12.975340680728316
id_63,51.74165959283003
id_64,18.783369632539824
id_65,12.348752842777685
id_66,15.6336236535419
id_67,-0.05887147068500198
id_68,41.508011073075934
id_69,31.548747530656016
id_70,18.60425115754706
id_71,37.4768197248807
id_72,56.520390657623025
id_73,6.587877193521923
id_74,12.229339737435012
id_75,5.203696404134675
id_76,47.92737510380059
id_77,13.020705685594674
id_78,17.11030169390361
id_79,20.603234531002034
id_80,21.28448156078459
id_81,38.6929352905118
id_82,30.02071667572583
id_83,88.76740666723548
id_84,35.984700239668264
id_85,26.756913553477226
id_86,23.96351684356442
id_87,32.74724282808306
id_88,22.189043755319915
id_89,20.99215885362655
id_90,29.55599431664543
id_91,40.9921688665178
id_92,8.625117809911536
id_93,32.32147180887789
id_94,46.59804436536767
id_95,22.884070826723537
id_96,31.518129728251655
id_97,11.198233479766108
id_98,28.52743664252961
id_99,0.29115068008961753
id_100,17.9669610795397
id_101,27.124163929470143
id_102,11.398232780652839
id_103,16.426426865673523
id_104,23.425261046922188
id_105,40.6160826705684
id_106,25.86412502656038
id_107,5.42273695167237
id_108,10.79492112225611
id_109,72.86213692992126
id_110,48.022837059481375
id_111,15.746808276902946
id_112,24.670410614177957
id_113,12.827793326536703
id_114,10.158057570240516
id_115,27.269223342020986
id_116,29.208738577932447
id_117,8.835339619930693
id_118,20.051088137129746
id_119,20.212333743764248
id_120,79.90600929870557
id_121,18.06161428826362
id_122,30.542809341304356
id_123,25.980792377728058
id_124,5.21257726816475
id_125,30.3556973058562
id_126,7.7683228889146125
id_127,15.32826825539334
id_128,22.666365717697943
id_129,62.742054211090064
id_130,18.950780367988003
id_131,19.07635563083852
id_132,61.37157409163709
id_133,15.88456205262969
id_134,13.409418077705542
id_135,0.8487724836112704
id_136,7.834996717304129
id_137,57.01282901179681
id_138,25.607996751813815
id_139,4.961704729242085
id_140,36.414879039062754
id_141,28.790006721975928
id_142,49.19412096197631
id_143,40.306869855734476
id_144,13.316180593982693
id_145,27.661011875229143
id_146,17.158027524366755
id_147,49.68726256929681
id_148,23.030272291604785
id_149,39.24093652484275
id_150,13.19675388941253
id_151,5.948893701039424
id_152,25.821608976304226
id_153,8.258634214291643
id_154,19.14632051722559
id_155,43.182486526516726
id_156,6.717843578093012
id_157,33.869615246810646
id_158,15.369937846981827
id_159,16.93904497355191
id_160,37.885336794634846
id_161,19.202484541054403
id_162,9.059504715654704
id_163,10.283399610648498
id_164,48.6724471256983
id_165,30.587716213230756
id_166,2.4774098975321674
id_167,12.811603937805955
id_168,70.32478980976462
id_169,14.840967694067018
id_170,68.8655875667886
id_171,42.74199244486631
id_172,24.000261542920136
id_173,23.420724860321435
id_174,61.672124435682356
id_175,25.49420284505919
id_176,19.004809786869075
id_177,34.88668288189683
id_178,9.402313398379732
id_179,29.52001131440803
id_180,14.573965885700494
id_181,9.125563143203586
id_182,52.81258399813187
id_183,45.039537994389605
id_184,17.45243467918328
id_185,38.4939352797143
id_186,27.038919092643816
id_187,65.58170967424583
id_188,7.037306380769614
id_189,52.71447713411571
id_190,38.20645933704977
id_191,21.169801059557848
id_192,30.247556879488393
id_193,2.714422989716322
id_194,19.932932587640824
id_195,-3.4133323376039186
id_196,32.445999402813136
id_197,10.582973029979918
id_198,21.775225707258446
id_199,62.465292065677914
id_200,24.132943687316455
id_201,26.201239647400968
id_202,63.744477234402865
id_203,2.834297774129041
id_204,14.379246986978842
id_205,9.369850731753857
id_206,9.881166613595397
id_207,3.4949453589721333
id_208,122.60804937921779
id_209,21.08351301448058
id_210,17.53222059945511
id_211,20.183098344597
id_212,36.39313221228183
id_213,34.935151205290694
id_214,18.830312661458606
id_215,38.34455552272333
id_216,77.9166341380704
id_217,1.7953235508882095
id_218,13.445827939135782
id_219,36.13115559041212
id_220,15.15040349816628
id_221,12.941848334417884
id_222,113.12524093786388
id_223,15.224604677934337
id_224,14.82402596861207
id_225,59.26735368854044
id_226,10.583695290718488
id_227,20.993062563532206
id_228,9.789365880830385
id_229,4.771180008705983
id_230,47.927806904812904
id_231,12.39943839475102
id_232,48.14647656264414
id_233,40.46638039656414
id_234,16.940590270332933
id_235,41.26654448941872
id_236,69.027892033729
id_237,40.34624924412241
id_238,14.31374398287113
id_239,15.77072663421982
